Dedicante,Testo Dedica,Inventario,BID,Collocazione,Descrizione,Latitude,Longitude,Citta dell'autore,Note,Città di Scritta Dedica,Data,Link,n Record
"Ferretti, Massimo","Jesi, 25 sett. '65 Pagliarani: per ringraziarlo (anche) d'una  intendenza per questa ""gazzarra"" Ferretti",1654,RAV0059367 ,RISERVATI.NARRATIVA.FERRETTI.1965(A),"Il *gazzarra Romanzo / Ferretti. - Milano : Feltrinelli, 1965. - 189 p. ; 21 cm",41.9028° N,12.4964° E,Roma,,Jesi,settembre 1965,https://drive.google.com/file/d/1xbIWKd8rhSoOVSriA8u8f6NGnKV033mX/view?usp=sharing,
"Ferretti, Massimo ","Jesi, 25 sett. '65 A Pagliarani: per ringraziarlo (anche) d'una  intendenza per questa ""gazzarra"" Ferretti",1654,RAV0059367 ,RISERVATI.NARRATIVA.FERRETTI.1965(A),"Il *gazzarra : Romanzo / Ferretti. - Milano : Feltrinelli, 1965",41.9028° N,12.4964° E,Roma,,Jesi,25 settembre 1965,,
"Ferro, Pier Luigi",Con stima e ammirazione sincere Ferro Pier Luigi (segue indirizzo dell'A.),5189,UBO2166988,RISERVATI POESIA.FERRO 1984(A) ,"*Librido / Pier Luigi Ferro ; [nota critica di A. Spatola]. - [Torino : Geiger], stampa 1984. - 29 p. ; 17 cm ((Seconda responsabilita sulla cop.",44.2976° N,8.4645° E,Savona,,,,https://drive.google.com/file/d/1whPeZdR_zpb6gnSlgiNb3UShX97Oa_tG/view?usp=sharing,
"Ferroni, Giulio","A Elio e Concetta, con un caro saluto Giulio",5038,RAV0313792,RISERVATI.NARRATIVA.FERRONI.1998(A),"La *scena intellettuale : tipi italiani / Giulio Ferroni. - Milano : Rizzoli, 1998. - 221 p. ; 20 cm",41.9028° N,12.4964 E,Roma,,,,,
"Fortini, Franco","Caro Elio, con tanti auguri dal tuo Franco Fortini dicembre 1956",821,TO00705813,RISERVATI POESIA.FORTINI 1956(A) ,"I *destini generali : con uno scritto di poetica / Franco Fortini. - Caltanisetta ; Roma : Sciascia, stampa 1956. - 80 p. ; 17 cm",45.4642° N,9.1900° E,Milano,,,dicembre 1956,https://drive.google.com/file/d/1oRTpayGRttbODLccIlD34P2F5j1cTVWz/view?usp=sharing,
"Franzin, Fabio","A voi carissimi Concetta e Elio, con profonda stima Fabio Franzin Motta di Livenza, 28/1/2010",4664,UBO3701498,RISERVATI POESIA.FRANZIN 2009(A) ,"*Fabrica / Fabio Franzin. - Borgomanero : Atelier, 2009. - 96 p. ; 21 cm ((Testo in dialetto veneto con traduzione italiana a front.",45.7773° N,12.6121° E,Motta di Livenza,,Motta di Livenza,28 gennaio 2010,https://drive.google.com/file/d/1Es-2uyv9_jEOT5g2KLpKJCD5w3pESM1C/view?usp=sharing,
"Frasca, Gabriele","A Elio, con grandissima stima (e grazie della tua presenza all'Orologio) Gabriele",4788,RAV0249265,RISERVATI POESIA.FRASCA 1995(A) ,"*Lime / Gabriele Frasca. - Torino : G. Einaudi, ©1995 (stampa 1994). - 158 p. ; 18 cm",40.7713° N,14.7907° E,Fisciano,,,,https://drive.google.com/file/d/1TyUqf3wX3BAGfECe1Jhgpy3ic0nPXMEu/view?usp=sharing,
"Frassineti, Augusto","A Elio Pagliarani con cara amicizia Augusto Frassineti Roma, 21-3-80",5194,SBL0297295 ,RISERVATI.NARRATIVA.RABELAIS.1980(A),"*Gargantua e Pantagruele / Francois Rabelais ; recato in lingua italiana da Augusto Frassineti. - Firenze : Sansoni, 1980!. - XVIII, 767 p. ; 21 cm",41.9028° N,12.4964° E,Roma,Dedica  del curatore Augusto Frassinelli,Roma,21 marzo 1980,https://drive.google.com/file/d/15XoeEOb6DyaTrRzo1UM9G6hHOUws6wUH/view?usp=sharing,
"Frassineti, Augusto","A Elio Pagliarani con cara amicizia Augusto Frassineti Roma, 21-3-80",5194,SBL0297295,RISERVATI NARRATIVA.RABELAIS 1980(A) ,"*Gargantua e Pantagruele / Francois Rabelais ; recato in lingua italiana da Augusto Frassineti. - Firenze : Sansoni, 1980!. - XVIII, 767 p. ; 21 cm ((Introduzione di Giovanni Macchia.",41.9028° N,12.4964° E,Roma,,Roma,21 marzo 1980,,
"Fratini, Gaio","Elio Pagliarani, purezza magnifica, quanti sono i poeti italiani? Travolse il direttissimo Milano - Roma un novissimo Aberrato ictus, Pasolini sparò a Balestra e colse Balestrini Gaio Fratini 14-7-61",4959,SBL0138483,RISERVATI POESIA.FRATINI 1961(A) ,"Il *re di Sardegna / Gaio Fratini ; con disegni di Vespignani. - Milano : All'insegna del pesce d'oro, [1961]",45.4642° N,9.1900° E,Milano ,,,14 luglio 1961,,
"Frungillo, Vincenzo  ",Al maestro esemplare con riconoscenza illimitata Vincenzo Frungillo,5757,MOD1407356 ,"RISERVATI.POESIA.FRUNGILLO,2007 (A) ","*Ogni cinque bracciate : un estratto : poema in cinque canti (02-02-2002/2006) / Vincenzo M. Frungillo ; disegni di Paola Pezzi. - Modena : Fondazione Cassa di risparmio di Modena, [2007]",40.8518° N,14.2681° E,Napoli,,,,https://drive.google.com/file/d/1zWzPniQF-wDJicxLWMwNeSCCd5aZKJi9/view?usp=sharing,
"Gentiluomo, Paolo",A Elio Pagliarani da un membro dell'orchestrina con approvazione pontificia Paolo Gentiluomo,4794,UM10034911,RISERVATI POESIA.GENTILUOMO 1995(A) ,"*Novene irresistibili / Paolo Gentiluomo. - Cosenza : Periferia, \1995!. - 83 p. ; 20 cm",44.4056° N,8.9463° E,Genova,,,,https://drive.google.com/file/d/1kN-9gmMQDkL2AW6gBxKEc3KfS6wbI1Jd/view?usp=sharing,
"Gerola, Gino","A Elio Pagliarani cordialmente Gino Gerola Firenze, dic. 1982",822,SBL0045028,RISERVATI POESIA.GEROLA 1962(A) ,"La *valle / Gino Gerola. - [Firenze] : Quartiere, stampa 1962. - 55 p. ; 17 cm ((Ed. di 500 esempl. num.",43.7696° N,11.2558° E,Firenze,,Firenze,dicembre 1982,https://drive.google.com/file/d/1mnnaimGkClihZxLSTJ-mWGo2Bm1iN4_-/view?usp=sharing,
"Ginzburg, Natalia","A Carlo, con affetto Natalia Roma 6 aprile",2125,TO00039618  ,RISERVATI.NARRATIVA.GINZBURG.1963(A),"*Lessico famigliare / Natalia Ginzburg. - Torino : Einaudi, [1963]. - 218 p. ; 23 cm",41.9028° N,12.4964° E,Roma,Dedica dell’A. al figlio Carlo,Roma,1963,https://drive.google.com/file/d/1gufS7imrWX8i2ra0TmXmHhZ40leOak3J/view?usp=sharing,
"Giovenale, Marco --- Vitale, Francesca","a Elio Pagliarani, maestro centrale",3614,RML0224692,RISERVATI POESIA.GIOVENALE 2002 (A) ,"*Curvature / Marco Giovenale, Francesca Vitale. - Roma : La Camera Verde, 2002. - 31 p. : Ill. ; 20 cm ((1 op.",41.9028° N,12.4964° E,Roma,,,,,
"Giuliani, Alfredo",A Elio Pagliarani con affetto Alfredo Giuliani Gennaio '61,502,BVE0282064,RISERVATI POESIA.GIULIANI 1955(A) ,"Il *cuore zoppo : con sette versioni da Dylan Thomas / Alfredo Giuliani. - Varese : Magenta, 1955. - 43 p. ; 19 cm",41.9028° N,12.4964° E,Roma,,,gennaio 1961,https://drive.google.com/file/d/1CrdFx6TDhtPQcyABMjpyO7vuete-t0tP/view?usp=sharing,
"Giuliani, Alfredo","Caro Elio, ti dedico il libro con un mottetto: non ti verranno a noia le mie opere complete, staremo in un fazzoletto il tuo Alfredo. Maggio 1986",567,CFI0027628,RISERVATI POESIA.GIULIANI 1986(A) ,"*Versi e nonversi / Alfredo Giuliani. - Milano : Feltrinelli, 1986. - 194 p. ; 20 cm",41.9028° N,12.4964° E,Roma ,,,maggio 1986,https://drive.google.com/file/d/1y1f--bFs2WZdsHWEpoOeB9cgxh0MA9vd/view?usp=sharing,
"Giuliani, Alfredo","Reggio Emilia 28 maggio '94 Al carissimo Elio, augurandoci letizie da Pelle d'asino, mica è il caso di smemorare l'ilarità (con stile si sa) Alfredo",3946,MIL0239902,RISERVATI POESIA.GIULIANI 1993(A) ,"*Ebbrezza di placamenti / Alfredo Giuliani ; introduzione di Romano Luperini. - Lecce : Piero Manni, 1993. - 54 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,Reggio Emilia,28 maggio 1994,,
"Gregotti, Carmen",29/5/98 A Elio Pagliarani Cordialmente Carmen Gregotti,2490,NAP0199629,RISERVATI POESIA.GREGOTTI 1998(A) ,"*Scostamenti / Carmen Gregotti ; con una nota di Arrigo Lora-Totino. - Lecce : P. Manni, stampa 1998. - 52 p. ; 21 cm",45.4642° N,9.1900° E,Milano,,,29 maggio 1998,https://drive.google.com/file/d/1pFKmMpf6RT22H4zJ_uZFRDS_18nZPDwX/view?usp=sharing,
"Guerra, Tonino","A Elio, con un abbraccio affettuoso d'amicizia, di stima Tonino",5261,RAV0164956,RISERVATI POESIA.GUERRA 1972(A) ,"I *bu : poesie Romagnole / Tonino Guerra ; trascrizione in lingua di Roberto Roversi ; introduzione di Gianfranco Contini. - Milano : Rizzoli, 1972. - 180 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1BdvXGMof2dlWQqWJb7pqtoAj32RcDj4o/view?usp=sharing,
"Guiducci, Armanda","A Elio Pagliarani con vecchia amicizia, affettuosamente 
Armanda Guiducci",4712,SBL0385681,RISERVATI GUIDUCCI 1965(A) ,"*Poesie per un uomo / Armanda Guiducci. - Milano : A. Mondadori, 1965. - 165 p. ; 19 cm",45.4642° N,9.1900° E,Milano,,,,,
"Iarusso, Gabriele",A Elio Pagliarani e Cetta Petrollo per la generosità mostratami e quel conforto/consiglio concessomi Gabriele,5135,BVE0432920,RISERVATI POESIA.IARUSSO 2006(A) ,"*Coito / Gabriele Iarusso. - Roma : Il filo, 2006. - 96 p. ; 20 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1kHRNaLCdWy1qDYEcV6gK3xjP0S8bkIwE/view?usp=sharing,
"Insana, Jolanda","A Elio Pagliarani, conosciuto per la sua passione per i Greci Jolanda Insana Gennaio '88",4035,CFI0238951,RISERVATI POESIA.SAFFO 1985(A) ,"*Poesie / Saffo ; a cura di Jolanda Insana. - Firenze : Estro, [1985]. - 111 p. ; 20 cm ((Testo orig. a fronte.",41.9028° N,12.4964° E,Roma,,,gennaio 1988,https://drive.google.com/file/d/1k7pifoxAr-3YuhWfC6NemKWfsIJuTTnl/view?usp=sharing,
"Insana, Jolanda",A Elio Pagliarani con un caro abbraccio Jolanda,5259,PAR1207671,RISERVATI POESIA.INSANA 2012(A) ,"*Turbativa d'incanto / Jolanda Insana. - Milano : Garzanti, 2012. - 131 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1cF_SgdRdMACZJsgQsGNMtVEkQ7szeUcv/view?usp=sharing,
"Insana, Jolanda",A Elio Pagliarani mio maestro e molto grata Jolanda Insana,5268,REA0038284,RISERVATI POESIA.INSANA 1997(A) ,"L'*occhio dormiente : 1987-1994 / Jolanda Insana. - Venezia : Marsilio, ©1997. - 110 p. ; 18 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1xCLkQvINCUAMhYMTTVmj9H8DNTV3b1D-/view?usp=sharing,
"Insana, Jolanda",A Elio Pagliarani ah le cene a via Margutta e a via dei Greci Un abbraccio Iolanda,5435,RAV1334776,RISERVATI POESIA.INSANA 2005(A) ,"La *tagliola del disamore / Jolanda Insana. - Milano : Garzanti, 2005. - 140 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1kZOlZXwdMuJ-7xF18xHTR7tjnWTYiAP_/view?usp=sharing,
"Isgrò, Emilio",A Elio Pagliarani con stima dal suo Emilio Isgrò Milano 1 - aprile -1959,808,CUB0346614,RISERVATI POESIA.ISGRO 1956(A) ,"*Fiere del Sud / Emilio Isgrò. - Milano : Ed. Schwarz, [1956]. - 42 p. ; 22 cm ((Ed. di 500 esempl. num.",45.4642° N,9.1900° E,Milano,,Milano,1 aprile 1959,https://drive.google.com/file/d/1Nfif_PzC4dud-gTi7O1okQ9lq12rZAe7/view?usp=sharing,
"Isgrò, Emilio",A Elio Pagliarani con amicizia e ammirazione sincera per il suo lavoro di poeta Emilio Isgrò,5186,SBL0426598,RISERVATI POESIA.ISGRO 1965(A) ,"*Uomini & donne : poesie / Emilio Isgrò. - Bologna : Sampietro, 1965. - [18] c. : ill. ; 20 x 20 cm",45.4642° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1zKY_RxBq_1Fbim-Hd4D2RwNeyigJ6qQJ/view?usp=sharing,
"Lagorio, Gina",A Elio Pagliarani Gina Lagorio,2250,BVE0006562,RISERVATI NARRATIVA.LAGORIO 1991(A) ,"*Tra le mura stellate / Gina Lagorio. - Milano : A. Mondadori, 1991. - 293 p. ; 22 cm",45.4642° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1UwbOxwAP6ZcHKoJ6f8FKmcywEZU3uFm2/view?usp=sharing,
"Leonetti, Francesco","A Elio Pagliarani,  in amicizia Francesco Leonetti '64 ottobre",1696,SBL0265649,RISERVATI NARRATIVA.LEONETTI 1964(A) ,"L'*incompleto / Francesco Leonetti. - Milano : Garzanti, 1964. - 165 p. ; 20 cm",44.4949° N,11.3426° E,Bologna,,,ottobre 1964,https://drive.google.com/file/d/1ELeeoCBPDewRNJGmJ2WjOXE2UZgkn8R6/view?usp=sharing,
"Leonetti, Francesco","A Elio Pagliarani, con un saluto, Francesco Leonetti Ottobre '78",1846,RAV0191845,RISERVATI NARRATIVA.LEONETTI 1978(A) ,"*Conoscenza per errore : studente di Bologna del '48-49 / Francesco Leonetti. - Torino : Einaudi, \1978!. - 160 p. ; 20 cm",45.4642° N,9.1900° E,Milano,,,ottobre 1978,https://drive.google.com/file/d/1F1wZ5GPjcriV2_iEPrNE9jf-1Zs5_Jmf/view?usp=sharing,
"Leonetti, Francesco","A Elio Pagliarani, da Francesco '94",5270,RAV0242284,RISERVATI POESIA.LEONETTI 1994(A) ,"Le *scritte sconfinate / Francesco Leonetti. - Milano : Libri Scheiwiller, 1994. - 117 p. : ill. ; 17 cm ((Ed. di 1000 copie num.",45.4642° N,9.1900° E,Milano,,,1994,https://drive.google.com/file/d/1-b1wYakUXngEtpTRsi4ubdwfIU9SlgNz/view?usp=sharing,
"Leonetti, Francesco","A Elio Pagliarani, in amicizia, in corrispondenza, con una possibilità, mancata, di lavoro comune Francesco Leonetti, 1981",1725,RAV0001603,RISERVATI.NARRATIVA.LEONETTI.1981(A),"*Campo di battaglia / Francesco Leonetti. - Torino : Einaudi, 1981. - 184 p. ; 22 cm",45.4642° N,9.1900° E,Milano,,,1981,https://drive.google.com/file/d/1gCdZJuydCgEOi-uzD_GZyZDgcl2F2IRI/view?usp=sharing,
"Li Vigni Galli, Rina",A Elio Pagliarani con stima grande Rina Li Vigni Galli Catanzaro febbraio '92,5126,MIL0782466,RISERVATI POESIA.LI/VIGNI/GALLI 1991(A) ,"Le *parole mansuete : poesie / Rina Li Vigni Galli ; con una prefazione di Mario Spinella. - Udine : Campanotto,stampa 1991. - 79 p. ; 20 cm",38.9098° N,"16.5877° E",Catanzaro,,Catanzaro,febbraio 1992,https://drive.google.com/file/d/159uuS_UngOaELov8SbnxvGzGnh7XGC4v/view?usp=sharing,
"Lilli, Laura","Dedica dell'A. a Elio Pagliarani: A Elio Pagliarani amico di tanti anni, maestro da sempre Laura Lilli. - Roma, maggio 2001",5129,RMR0019831,RISERVATI POESIA.LILLI 2001(A) ,"*Otto quarti d'ora / Laura Lilli. - Roma : Empirìa, \2001!. - 95, 103 p. ; 21 cm ((Pubbl. bifronte.",41.9028° N,12.4964° E,Roma,,Roma,maggio 2001,https://drive.google.com/file/d/1gpzoJElSKx6OKG_TBsObNfM-1j-Dr61N/view?usp=sharing,
"Lisi, Tommaso",A Elio Pagliarani che ha scelto di essere un corenese di passaggio la stima e la gratitudine di un corenese stanziale che non ha avuto scelta Tommaso Lisi Coreno A. 31 ag. '96,5130,CFI0309449,RISERVATI POESIA.LISI 1995(A) ,"1: *In punta d'ago / Tommaso Lisi ; con lettera di Macrì. - 2 ed. - Grottammare : Stamperia dell'arancio, 1995. - 87 p. : ill. ; 17 cm",41.3440° N,13.7747° E,CORENO AUSONIO,,Coreno Ausonio,31 agosto 1996,https://drive.google.com/file/d/1QTh10IMpBsVchahd45UHXWwZBytApoNc/view?usp=sharing,
"Lo Russo, Rosaria","Aprile 2005 Per il mio maestro amico Elio, Rosaria",5431,LO10888749,RISERVATI POESIA.LORUSSO 2004(A) ,"Lo *dittatore amore : melologhi / Rosaria Lo Russo. - Milano : Effigie, 2004. - 86 p. ; 24 cm + 1 compact disc",43.7696° N,11.2558° E,Firenze,,,aprile 2005,,
"Lombardi, Germano",Al ragazzo Pagliarani con affetto e amicizia da Germano Lombardi,1673,RAV0059335,RISERVATI NARRATIVA.LOMBARDI 1963(A) ,"*Barcelona : Romanzo / Germano Lombardi. - Milano : Feltrinelli, 1963. - 171 p. ; 20 cm",48.8566 N,2.3522 E,Parigi,,,,,
"Longo, Nicolino","All'illustre poeta prof. Elio Pagliarani. con i sensi della mia più alta stima, e la mia preghiera di stilare, se possibile, una recensione. L'autore. 26 marzo 2009 (segue indirizzo)",5042,BA10050293,RISERVATI POESIA.LONGO 2008(A) ,"*Ablativo assoluto : poesie / Nicolino Longo ; prefazione di Vincenzo Guarracino. - Bari : Giuseppe Laterza, stampa 2008. - 116 p. ; 21 cm",39.8449° N,15.7926° E,SAN NICOLA ARCELLA,,,26 marzo 2009,https://drive.google.com/file/d/1850GcGxuMhxtbqbXq68R7rs1uK7S1auN/view?usp=sharing,
"Longo, Nicolino","All'insigne poeta, giornalista, scrittore e saggista prof. Elio Pagliarani (da cui ho tratto il gusto della impostazione tipografica della poesia) con i sensi di tutte le mie stime e riconoscenza e la viva speranza che egli possa concedermi l'alto onore ""letterario"" di una sua pur breve recensione ... la saluto ed abbraccio con infinito affetto e cordialità N.L, 11-6-83.",5821,VEA0981956,RISERVATI POESIA.LONGO.2010(A) ,"*Poesie : una raccolta di poesie mie e d'altri meglio di me / Nicolino Longo ; prefazione            di Nino Scalisi. - Cosenza : Biondi, 1982 - 199 p. : ill. ; 23 cm",39.8449° N,15.7926° E,SAN NICOLA ARCELLA,,,,https://drive.google.com/file/d/16kgSqClPRv9xbzfMBhS1Dai0S5Bded9q/view?usp=sharing,
"Lunetta, Mario",per Cetta e Elio da Mario Lunetta,3707,BA10070822,RISERVATI POESIA.LUNETTA 2011(A) ,"*Identificazione biometrica : poesie scritte in sogno : 2003-2010 / Mario Lunetta ; postfazione di Stefano Lanuzza. - Roma : Robin, 2011. - 125 p. ; 20 cm",41.9028° N,12.4964° E,Roma,,,,,
"Lunetta, Mario",A Elio Pagliarani con l'ammirazione e l'affettuoso saluto di Mario Lunetta,4633,BVE0368797,RISERVATI POESIA. LUNETTA 2004 ,"*Magazzino dei monatti / Mario Lunetta ; prefazione di Francesco Muzzioli. - Pasian di Prato : Campanotto, [2004]. - 201 p. ; 17 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1d2A13OF1RxzVsMOVGBpanE_G-Z5WK5To/view?usp=sharing,
"Lunetta, Mario","A Cetta e Elio, con affetto e serenità condizionata Mario Lunetta.",4660,BVE0441162,RISERVATI POESIA.LUNETTA 2006(A) ,"*Mappamondo & altri luoghi infrequentabili / Mario Lunetta. - Pasian di Prato : Campanotto, [2006]. - 122 p. ; 17 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1oTCPPeopBCo5-iDfpft9f8uuGB1I354k/view?usp=sharing,
"Lunetta, Mario",Per Elio Pagliarani con l'amicizia di Mario Lunetta,5690,MIL0646262,RISERVATI.NARRATIVA.LUNETTA.1998(A),"*Penalty / Mario Lunetta ; prefazione di Giuseppe Neri. - Roma : [s.n.], 1998. - 38 p. ; 21 cm. ((Ed. priv. di 200 esempl. num.",41.9028° N,12.4964° E,Roma,,,,,
"Luzzi, Giorgio",A Elio Pagliarani con ammirazione con cordiale pensiero il tuo giorgio Luzzi,3648,VIA0062804,RISERVATI POESIA.LUZZI 1997(A) ,"*Predario / Giorgio Luzzi. - Venezia : Marsilio, 1997. - 132 p. ; 19 cm",45.0703° N,7.6869° E,Torino,,,,https://drive.google.com/file/d/1Z9F4ro_md1MCGv5lYl4fL6xFzl0udYlD/view?usp=sharing,
"Luzzi, Giorgio","A Elio Pagliarani, con simpatia e cordialità Giorgio Luzzi Sett.90",4957,CFI0198547,RISERVATI POESIA.LUZZI 1990(A) ,"*Mosaico dei rifugi / Giorgio Luzzi. - Milano : Crocetti, 1990. - 100 p. ; 20 cm",45.0703° N,7.6869° E,Torino,,,settembre 1990,https://drive.google.com/file/d/1Fif1BSLfIS0zWj06YOkjth8qgpvBnEXX/view?usp=sharing,
"Maffia, Dante","A Elio, con antica amicizia, Dante",3657,MIL0627443,RISERVATI POESIA.MAFFIA 2003(A) ,"La *biblioteca d'Alessandria / Dante Maffia. - Roma : Lepisma, 2003. - 30 p. ; 17 cm",41.9028° N,12.4964° E,Roma,,,,,
"Magrelli, Valerio","Roma, marzo '99 A Elio, con il ricordo di Valerio",4929,RAV0330626,RISERVATI POESIA.MAGRELLI 1999(A) ,"*Didascalie per la lettura di un giornale / Valerio Magrelli. - Torino : G. Einaudi, [1999]. - 93 p. ; 18 cm",41.9028° N,"12.4964° E
",Roma,,Roma,marzo 1999,,
"Magrelli, Valerio","Roma 10-8-96 A Elio, col ricordo e l'amicizia di Valerio",5432,RAV0273124,RISERVATI POESIA.MAGRELLI 1996(A) ,"*Poesie (1980-1992) e altre poesie / Valerio Magrelli. - Torino : G. Einaudi, [1996]. - 320 p. ; 18 cm ((Contiene: Ora serrata retinae, Nature e venature, Esercizi di tiptologia.",41.9028° N,"12.4964° E
",Roma,,Roma,10 agosto 1996,https://drive.google.com/file/d/1W_I0eF1hlyjYpHmFmxQhZSovUPyw0Cfh/view?usp=sharing,
"Magrelli, Valerio ","Roma, marzo '87 A Elio Pagliarani, e al nostro incontro di dodici anni fa, col ricordo di Valerio Magrelli",3671,CFI0088177  ,RISERVATI.POESIA.MAGRELLI.1987(A),"*Nature e venature / Valerio Magrelli. - Milano : A. Mondadori, 1987",41.9028° N,"12.4964° E
",Roma,,Roma,marzo 1987,,
"Magrelli, Valerio ","Roma, 26-5-95 A Elio, giusto a vent'anni della mia prima uscita, con l'affetto immutato di Valerio",5586,LO10090237 ,RISERVATI.POESIA.MAGRELLI.1992(A),"*Esercizi di tiptologia / Valerio Magrelli. - Milano : A. Mondadori, 1992",41.9028° N,"12.4964° E
",Roma,,Roma,26 maggio 1995,https://drive.google.com/file/d/1kaq_HHCirL13WaUxWm4DdqZP51zdId8B/view?usp=sharing,
"Majellaro, Nino",A Elio Pagliarani Nino Majellaro,5055,UBO2137912,RISERVATI POESIA.MAJELLARO 1974(A) ,"La *memoria artificiale / Nino Majellaro. - Torino : Geiger, stampa 1974. - 60 p. ; 19 cm",45.6397° N,9.0007° E,GERENZANO,,,,https://drive.google.com/file/d/15jpkGwpHMJLCeYxSsWq5hGpx9LgAlr2P/view?usp=sharing,
"Majorino, Giancarlo",Con un saluto Giancarlo,2264,RAV0129921,RISERVATI POESIA.MAJORINO 1990(A) ,"La *solitudine e gli altri / Giancarlo Majorino. - Milano : Garzanti, 1990. - 95 p. ; 22 cm",45.4642° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1i1ruMnlDZMElk1Pg7TxIcumVbLCoLS06/view?usp=sharing,
"Majorino, Giancarlo","Per Elio, con amicizia Giancarlo 15/5/09",3800,RAV1675858,RISERVATI POESIA.MAJORINO 2008(A) ,"*Viaggio nella presenza del tempo / Giancarlo Majorino. - Milano : Oscar Mondadori, 2008. - 424 p. ; 20 cm",45.4642° N,9.1900° E,Milano,,,15 maggio 2009,https://drive.google.com/file/d/1kRpwduuTiKd_TjrX3y_4lH0BxEhjwE_Q/view?usp=sharing,
"Majorino, Giancarlo",Si girava ... per la città ecc. un saluto Giancarlo 7/6/94,3945,URB0379025,RISERVATI POESIA.MAJORINO 1994(A) ,"La *capitale del nord / Giancarlo Majorino. - 2. ed. - Milano : Edizioni dell'arco, [1994]. - 58 p. ; 21 cm",45.4642° N,9.1900° E,Milano,,,7 giugno 1994,https://drive.google.com/file/d/1EjIx3ctJiHeL3tO2Ffu_cn8mlxkC4swv/view?usp=sharing,
"Majorino, Giancarlo",A Elio è soltanto il primo ... con un saluto Giancarlo 14/3/2004,4954,UBO2393295,RISERVATI POESIA.MAJORINO 2004(A) ,"*Prossimamente / Giancarlo Majorino. - Milano : Mondadori, 2004. - 146 p. ; 18 cm",45.4642° N,9.1900° E,Milano,,,14 marzo 2004,https://drive.google.com/file/d/1DwXTZC44u3AxHGniQ2aPKVbfOjrfj_8H/view?usp=sharing,
"Majorino, Giancarlo",Ciao Elio Giancarlo 5/6/92,5426,CFI0260967,RISERVATI POESIA.MAJORINO 1991(A) ,"*Cangiante / poesie di Giancarlo Majorino ; acquerelli di Carlo Nangeroni. - Milano : All'insegna del pesce d'oro, 1991",45.4642° N,9.1900° E,Milano,,,5 giugno 1992,https://drive.google.com/file/d/1swXoefQquBOZEl67XcwOmNunPdKveCB-/view?usp=sharing,
"Malerba, Luigi",A Elio affettuosamente Gigi Malerba Roma 7 giugno 1973,3692,SBL0595188 ,RISERVATI.NARRATIVA.MALERBA1973(A)," Il *protagonista / Luigi Malerba. - Milano : Bompiani, [1973]. - 193 p. ; 20 cm",41.9028° N,"12.4964° E
",Roma,,Roma,7 giugno 1973,https://drive.google.com/file/d/1IRt26-YoMto21oKeusZyIZjqW05e9l15/view?usp=sharing,
"Malerba, Luigi ",A Elio affettuosamente Gigi Malerba Milano 8 maggio 1968,1688,CFI0985034 ,NARRATIVA.MALERBA.1968(A),"*Salto mortale / Luigi Malerba. - Milano : Bompiani, 1968",45.4642° N,12.4964° E,Milano,,Milano,8 maggio 1968,https://drive.google.com/file/d/1A3NqxQxddwTqSP6q8nF0MAHi4gR82WUt/view?usp=sharing,
"Manacorda, Giorgio",A Elio al gran poeta da Giorgio Roma 6-2-2012,3654,UBO3914797,RISERVATI NARRATIVA.MANACORDA 2012(A) ,"Il *corridoio di legno / Giorgio Manacorda. - Roma : Voland, 2012. - 159 p. ; 21 cm",41.9028° N,12.4964° E,Roma,,Roma,6 febbraio 2012,https://drive.google.com/file/d/1o8UTY9ZUiMc8po9iwjVklkuJPIUAbeRh/view?usp=sharing,
"Manganelli, Giorgio",A Elio con l'amicizia di Giorgio novembre '81.,1667,TO00035962,RISERVATI NARRATIVA.MANGANELLI 1981(A) ,"*Angosce di stile / Giorgio Manganelli. - Milano : Rizzoli, 1981. - 189 p. ; 23 cm ((Raccolta di prefaz. a opere di diversi autori.",41.9028° N,12.4964° E,Roma,,,novembre 1981,https://drive.google.com/file/d/1vPSDfMG5LFzvGx7l7l_Kijig9XDMqWnY/view?usp=sharing,
"Manganelli, Giorgio",A Elio con l'amicizia di sempre da Giorgio,1724,RAV0082678,RISERVATI NARRATIVA.MANGANELLI 1981(A) ,"*Amore / Giorgio Manganelli. - Milano : Rizzoli, 1981. - 118 p. ; 23 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1aQOg4Bszgkrrmkp76HhlkSKwn9iNR3cD/view?usp=sharing,
