Dedicante,Testo Dedica,Inventario,BID,Collocazione,Descrizione,Latitude,Longitude,Citta dell'autore,Note,Città di Scritta Dedica,Data,Link,n Record
"Balestrini, Nanni",Caro Elio con tanto affetto! Nanni marzo 1987,3714,CFI0052771,RISERVATI POESIA.BALESTRINI 1986(A) ,"*Ipocalisse : 49 sonetti : Provenza, 1980-1983 / Nanni Balestrini. - Milano : Libri Scheiwiller, 1986. - 79 p. ; 17 cm",45.4408° N,9.1900° E,Milano,,,marzo 1987,https://drive.google.com/file/d/1UjsjNQt7kngB0xE5QeLjLsZrLL9W9Xn7/view?usp=sharing,
"Balestrini, Nanni",di Elio Pagliarani,4126,LO11163390,RISERVATI NARRATIVA.BALESTRINI 2007/2(A) ,"*Tristano : Romanzo multiplo / Nanni Balestrini ; prefazione di Umberto Eco. - Roma : Derive Approdi, 2007",45.4408° N,9.1900° E,Milano,"Firma dell'A. nell'occhietto e sua nota ""di Elio Pagliarani"" sulla copertina",,,https://drive.google.com/file/d/1DeSCT5JjbXZcvYlrFLy9peAIXIbe4fcE/view?usp=sharing,
"Balestrini, Nanni",A Elio con lunghissima amicizia! Nanni febbraio 2007,5438,UMC0656888,RISERVATI MOSTRE.BALESTRINI 2006(A) ,"*Nanni Balestrini: *con gli occhi del linguaggio. - Milano : Fondazione Mudima ; Roma : DeriveApprodi, stampa 2006. - 177 p. : ill. ; 25 cm ((Catalogo della Mostra tenuta a Milano nel 2006.",45.4408° N,9.1900° E,Milano,,,febbraio 2007,,
"Ballerini, Luigi",A Elio con l'affetto antico del suo Gigi Venezia 13 giugno 1994,3716,MIL0214709,RISERVATI POESIA.BALLERINI 1994(A) ,"Il *terzo gode / Luigi Ballerini ; con un saggio di Remo Bodei. - Venezia : Marsilio, 1994. - 128 p. ; 19 cm",45.4408° N,12.3155° E,Milano,,Venezia,13 giugno 1994,https://drive.google.com/file/d/1zgSq414bRVgtEzJhdSJDXMwI5yjaeOSS/view?usp=sharing,
"Ballerini, Luigi",A Elio con molta simpatia stima e affetto il suo Luigi Roma giugno '72,4655,MIL0103657,RISERVATI POESIA.BALLERINI 1972(A) ,"*eccetera. E / Luigi Ballerini. - Parma : Guanda, 1972. - 56 p. ; 19 cm",41.9028° N,12.4964° E,Roma,,Roma,giugno 1972,,
"Ballerini, Luigi ",Al carissimo Elio ritrovato (in gran forma) con l'affetto (vivissimo) del suo Luigi  Milano (poesia) 1989,2366,UPG0025052 ,RISERVATI.NARRATIVA.BALLERINI.1988(A),"*Che figurato muore / Luigi Ballerini. - Milano : All'insegna del pesce d'oro, 1988",45.4642° N,9.1900° E,Milano,,Milano,1989,,
"Ballerini, Luigi ","Ciao Elio, un abbraccio dal tuo L.",5795,USM1827823 ,RISERVATI.SAGGISTICA.BALLERINI.1989(A),"*Divagazione stilnovista ovvero del ""Ripigliare matera nova"" / Luigi Ballerini. - [S. l. : s. n.], 1989",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1Yky_63h58YwAjSu3gS1fjl62-GvQz_lm/view?usp=sharing,
"Basile, Antonio",A Elio Pagliarani con stima Antonio Basile (segue indirizzo),5925,IEI0698660,RISERVATI.VARIA.AFORISMI.BASILE.1991(A),"*Oltre l'Occidente : (21 aforismi) / Antonio Basile. - Firenze : Carattteri, stampa 1991. - 35 p. ; 21 cm",43.7696° N,11.2558° E,Firenze,,Firenze (guarda la foto) ,,https://drive.google.com/file/d/10AswWM5hE9Yo0EMAEGdLzPeSNdJ1Xi2j/view?usp=sharing,
"Battaglia, Giulia","Al vecchio amico, grande poeta Elio Pagliarani! queste mie poesiole che mi è piaciuto scrivere anzichè dipingere. Giulia B. Buon Natale a te e alla tua famiglia 12 dicembre 2004",5266,IEI0261906,RISERVATI POESIA.BATTAGLIA 2004(A) ,"*Parole come colori / Giulia Battaglia ; con una nota di Elio Pecora sulla poesia dell'autrice e uno. - Roma : Edizioni dell'Elefante, [2004!",45.4184° N,9.2678° E,San Donato,,,12 dicembre 2004,https://drive.google.com/file/d/1ePD-bDYWSNCW1MPaP5D5R8khRwBk8ru0/view?usp=sharing,
"Beltrametti, Franco","Tutto questo: una scelta su 12 anni, a Elio Pagliarani, con stima e amicizia da Franco Beltrametti 11/VI/90",2204,VEA0049527,RISERVATI POESIA.BELTRAMETTI 1990(A) ,"*Tutto questo / Franco Beltrametti. - Venezia : Supernova, \1990!. - 216 p. ; 17 cm",45.9008° N,8.9708° E,Riva San Vitale (Svizzera),,,11 giugno 1990,https://drive.google.com/file/d/1K41qpksj4K8JMxUZP2-sXrdHxRqy6tEy/view?usp=sharing,
